Submission_ID,Respondent_ID,Submitted_at,Loan_Id,NPS_Score,NPS_Reason,NPS_Improve,NPS_Quality,NPS_Support,NPS_Delay,NPS_Support_Challenge,NPS_Support_Challenge_Details,NPS_Battery,NPS_App,NPS_Communication,NPS_Phone_Lock,NPS_Feedback
D4eQDPj,M0zde8,2025-07-22 13:54:00,recEEvC5wzBLFgItb,7.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Allow also daily payments.
"
 sometimes things get tough.,,,,,,,,,,,,,,,,
" Thanks.""",,,,,,,,,,,,,,,,
Gx0WJrz,M0zdrg,2025-07-22 13:55:00,rechERMKJvwvIlC8E,,,,No,Yes,,,,,,,,
LZ0lY2J,zVDQMM,2025-07-22 13:55:00,recmJnVRgmsK4cCD0,10.0,,,Yes,Yes,Yes,No,,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,For now I don't have any problem
0QPXvXB,oJMVGx,2025-07-22 13:56:00,recpRQ5ncxrYBmO1s,10.0,,,Yes,Yes,No,No,Have no challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,
gDAZP5O,LeKyQv,2025-07-22 13:56:00,recizHGLKlTnlJKBN,10.0,,,Yes,Yes,No,"No, I have never looked for customer care",No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Am having a good experience with my phone no issues so far
Ek09DxL,yO9EpB,2025-07-22 13:56:00,recbEWJrzyEaYq4Vf,2.0,,,No,Yes,No,No,I am oky,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I need to download third apps on the device
QK0LJK7,22NxkL,2025-07-22 13:57:00,recV9utEfomyinj20,9.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Am satisfied so far
zxelrva,NzWB9O,2025-07-22 13:57:00,recG0RSr8MTImt3b8,6.0,,,Yes,Yes,Yes,Yes,,,,,,
Y5d8Mzv,Zx6RZA,2025-07-22 13:59:00,rec3eau2oGDI5v1bi,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Non
J907kA4,pgB0dy,2025-07-22 13:59:00,recZXgfZxmsflEp2D,,,,No,Yes,,,,,,,,
D4eQJvE,NzWBRN,2025-07-22 14:01:00,recsMA4yHtwvU0wZ1,1.0,,,Yes,Yes,No,Yes,The service are absolutely cool the phone I took it's extremely excellent but I don't like the way it locks up when the days are due atlist you should give us 2 to 3 days of mercy period you know paying 1300 a week is difficult atlist some more time then I make it up for payments.however I love mophones and services,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Do not lock it the same day just give a warning After 2to 3 days if it's not paid the lock
68xoOeB,EpQbLN,2025-07-22 14:01:00,recUlK78xy19K4Qk1,10.0,,,Yes,Yes,No,No,Just dont lock the phone so abrupt,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Don't be quick to lock my phone. Because I think we have built a customer relationship and my intentions is to finish my payment plan
vG2kx2A,OR5jXM,2025-07-22 14:01:00,recodkxBTyCUkjWGI,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,So far so good
rjE7dZ5,L8WMLv,2025-07-22 14:02:00,recIo9SwsuaGNWv6l,4.0,,,No,No,No,Yes,You don't reply chats,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,My battery is very weak
LZ0lMYO,aWYjdZ,2025-07-22 14:02:00,recqH1v7r2vpjpqgq,9.0,,,Yes,Yes,No,"No, I have never looked for customer care",No,No,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,
RGLpB9J,v5y1dQ,2025-07-22 14:02:00,recGURF5lIfs1lyfG,6.0,,,,,,,,,,,,
XxqXRWL,5N1laN,2025-07-22 14:05:00,rec0eXvE3PbzEea8R,9.0,,,Yes,Yes,No,"No, I have never looked for customer care",T,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,T
A78Zbjl,vRy02D,2025-07-22 14:05:00,recHoBX1nUEvOgKge,10.0,,,Yes,Yes,No,No,Excellent,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
gD42Q54,rXA0Z2,2025-07-22 14:06:00,rec3E8YqU9dzW9GmA,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Content with the service so far
J907V1z,M0zrQE,2025-07-22 14:06:00,rec2dBmZcslSVR7tN,6.0,,,Yes,No,Yes,Yes,I forgot to pay and my phone was switched off its good i be called and told coz it becomes hard to try and pay and your phone is off,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Comunicate more
81eOJxz,M208XA,2025-07-22 14:06:00,recLIqFNZh0ptjuML,7.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No
0QPXbZ0,gBMQyl,2025-07-22 14:07:00,rec33v8NYHTqY2BcI,0.0,,,No,Yes,No,No,Battery life is poor,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
q4P6E8Y,4Zx19b,2025-07-22 14:07:00,recShlIvRo7Gmg1cB,0.0,,,No,No,Yes,Yes,"After a month my phone was having an echo, when I return it to the shop because the warranty is still valid one of the agent said the technician are busy maybe I tried another day. And the problem is still there UpToday",No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,No
xXZK04G,Vr59RJ,2025-07-22 14:08:00,recPU2zJXZjwFzKJL,7.0,,,Yes,Yes,No,No,No challenge,,,,,
2Er0b49,bax2J1,2025-07-22 14:08:00,recr5N9W5E1SqM6Xj,10.0,,,Yes,Yes,No,Yes,My mophones app not showing my current status balances that is my recent transaction list only saying error,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I'm just satisfied with mophones ever
J907VQo,L4DKMj,2025-07-22 14:09:00,rec2wNKSIr3ElpaZ3,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,
A78ZbND,rXA02v,2025-07-22 14:10:00,recnT302T0QkkOULj,8.0,,,Yes,Yes,No,Yes,"-Opening and closing hours...adjust them please
",,,,,
 - Introduce daily payments to allow users enjoy even more, for it's hard to get 950 weekly in this Kasongo's economy,,,,,,,,,,,,,,,
" -The grace period could be free then when""",No,,Free SMS – 25044,,Congratulations for providing legitimate phones,,,,,,,,,,,
OD0vjdK,RO5ZXd,2025-07-22 14:10:00,rec6gIqpc9hlxYEVk,2.0,,,No,No,No,Yes,"You promised that the phone will be fine for a heavy phone user but mine is giving me a headache especially charging, its only accepting one cable meaning i cant use a powerbank..the the battery drains so fast...it's just draining",Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I'm a frustrated client...
A78ZWxe,4ZxPGk,2025-07-22 14:10:00,recISajmXB3pV65np,,,,Yes,,,,,,,,,
Pd0K810,qyAjY9,2025-07-22 14:10:00,recblAXoMyVF01Hin,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,
5B2RlJo,rXA2lp,2025-07-22 14:10:00,recMriMigHUfS9Cze,6.0,,,Yes,Yes,No,"No, I have never looked for customer care",,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,
A78Z61k,DLd0eE,2025-07-22 14:10:00,recNLX61ZFxmAu0wj,4.0,,,No,Yes,Yes,No,The phone is not working correctly,Yes,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,No,My screen is a nightmare
Pd0K2N1,4ZxPKB,2025-07-22 14:10:00,recgQl1hMAnIDRmJ4,8.0,,,Yes,Yes,Yes,Yes,Battery proble,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,Yes,I still have battery problem
ZjJ0zA0,vRyx6D,2025-07-22 14:11:00,recL27pvpAtv329lO,7.0,,,No,Yes,No,No,0,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,My mophones app logged out and I Don't have the logins
b5OPN2L,jKQGpR,2025-07-22 14:12:00,reckATocdGozDIlXn,6.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Good job
5B2REgb,M0z8pE,2025-07-22 14:12:00,rec2mSDn9xDb5fQed,6.0,,,No,No,Yes,No,,,,,,
aQGVZ0X,EV5LDA,2025-07-22 14:12:00,recHarKC7q3S1OTKi,8.0,,,Yes,Yes,No,Yes,No response at all,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Work on your response system
RGLp8p4,xGa9Ov,2025-07-22 14:13:00,recpxmhJrBPowxgDi,5.0,,,Yes,Yes,,,,,,,,
LZ0l5ry,OR58va,2025-07-22 14:13:00,recSMgLjobI8OJ4DJ,0.0,,,No,No,No,"No, I have never looked for customer care",no,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,no
rjE72dR,jKQGgE,2025-07-22 14:13:00,recNrKyftyaUYvtu8,7.0,,,Yes,Yes,Yes,No,My challage is phone drains batterly very fast,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
2Er0OJ9,xGa9go,2025-07-22 14:13:00,recTWxQEY22nBbYBP,0.0,,,No,No,No,Yes,"i am just managing the phone i acquired from mophone,it performs terrible",No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,my phone is really failing
2Er0OZA,NzW8Nb,2025-07-22 14:14:00,rec6ie3gfuA6iQbwH,10.0,,,Yes,Yes,Yes,Yes,Sometimes paying the phone using mophone app may be difficult,No,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,Just great 👍 👌
XxqX1lg,DLdA2Z,2025-07-22 14:15:00,rec849Dbvi6MqORBJ,9.0,,,Yes,Yes,No,No,Can u change my pay date from saturday to monday?,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No feedback
pbVaRVy,OR5dG8,2025-07-22 14:15:00,recNbcSWE6GWxYide,10.0,,,Yes,Yes,,,,,,,,
xXZK4Pk,4ZxA2B,2025-07-22 14:17:00,recbZu4ywwGdkH4jB,10.0,,,Yes,Yes,No,No,Just continue with a good spirit,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,
zxelWyE,rXA20R,2025-07-22 14:17:00,recSdSsY15KpU803w,7.0,,,Yes,No,No,No,No challenge,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
81eOAWO,BvkAL1,2025-07-22 14:18:00,recQabJPcwHQ6YrAW,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Amazing services
MeOYYdE,LeKYqJ,2025-07-22 14:18:00,recm127KinE9cH3Xc,5.0,,,Yes,Yes,Yes,Yes,......,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Nope
81eOABo,oJMKzO,2025-07-22 14:19:00,recTC3h1QVw7znSTt,10.0,,,Yes,Yes,Yes,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,
aQGVKlB,Y2WpMz,2025-07-22 14:20:00,rec9DAsDzBah82QFi,1.0,,,Yes,Yes,No,No,Good servises,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Good servises,keep it up mophones"
xXZK4gr,BvkAb4,2025-07-22 14:21:00,recQp0OtVU6tEtNzh,2.0,,,Yes,Yes,No,No,My name is setrick I am happy for the service the problem is when you are using the the phone it's always hot very hot you need to see what you can do thanks,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Nothing to say
yPDLjW8,Vr5vdg,2025-07-22 14:22:00,recYpfLmldLd3H38I,4.0,,,Yes,Yes,No,"No, I have never looked for customer care",I think what I overlooked is simcard use ....it's a single simcard gadget ....is it possible to upgrade in exchange to get one with twin sim please am ready to take even more expensive gadget as long as it serves twin card,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Please respond on my inquiry of upgrades if possible kindly
vG2kJ2A,QG5vZA,2025-07-22 14:22:00,recXd10VxL75TFfBK,4.0,,,Yes,Yes,Yes,No,Nowadays the phone keeps locking yet I always pay on time,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
RGLpbrK,EpQZkl,2025-07-22 14:22:00,recKid1JGQhl6ic6s,10.0,,,Yes,Yes,No,No,,,,,,
aQGVAlX,pgBJb1,2025-07-22 14:22:00,recih7r4wRNNdpHCx,10.0,,,Yes,Yes,Yes,Yes,Hghj,Yes,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,Yes,Jjhj
b5OPYxo,aWYKq9,2025-07-22 14:22:00,rechTlRC7EQz0eGkI,10.0,,,Yes,Yes,Yes,No,You have already improved I have no issues,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
yPDLdXd,4Zx9vb,2025-07-22 14:24:00,recgiNOiIScQffy39,9.0,,,Yes,Yes,,,,,,,,
jaxN546,M0zv6l,2025-07-22 14:24:00,recnGIDqUhAKPb77L,2.0,,,No,No,Yes,Yes,My phone was locked and called customer care and was told that working hours are as from 9 to 5 what if I need a serious help should I wait until tomorrow 9,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,"Your guys at the office ,,when you take a phone to repair they talk very rude , arrogant and uncouth"
xXZKRk9,q9GjVg,2025-07-22 14:25:00,recKVtRZ27RxZy5XP,10.0,,,Yes,Yes,No,No,Am ok,No,"No, I have never used it",Reach Out via a Sales Agent,No,Am satisfied
lbRQMBX,046ZJZ,2025-07-22 14:25:00,rec2ayOrelqB3J31G,7.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,
b5OP67Z,AkL4AN,2025-07-22 14:26:00,recYlFxjiVhKldFZ2,8.0,,,No,Yes,No,No,Have never,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
OD0vbM8,JyAezo,2025-07-22 14:26:00,reckpNUF35iErmfzp,0.0,,,No,No,Yes,No,I cant describe,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,
pbVaky1,JyAekY,2025-07-22 14:26:00,recEVzeuxpRkXySqT,9.0,,,Yes,Yes,Yes,No,No challenge,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Sometimes the app logs me out
Y5d8xQJ,89Q66o,2025-07-22 14:26:00,recqX8JJZo8DaZc0i,10.0,,,Yes,Yes,No,"No, I have never looked for customer care",,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,
pbVakBB,RO5bvP,2025-07-22 14:27:00,recC8M8D7lP2AObzE,10.0,,,Yes,Yes,No,No,am very fine with you,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,am fine with mophones
Y5OzDp5,P7zez1,2025-07-22 14:27:00,recqPAGfXWFxJlYyH,10.0,,,Yes,No,No,Yes,"I lost my phone, reported and i was adviced to report, i reported and i was given abstract. Your company gave me two options, i pay in full and get a new one or i pay in full and don't get a new one. Am yet to respond but is this really human bearing we have insurance to cover and protect your clients? How do i advice my friends to come for your services if this is how you treat your clients?",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,What do i do with my stolen and reported gadget?
b5OP6e1,BvkjLA,2025-07-22 14:28:00,rectq2wT2hVyixSj3,5.0,,,No,No,No,Yes,Ur customers delay in pickin calls then ma phones battery has problem,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Improve on battery level
VL8gbkl,zVDGeq,2025-07-22 14:28:00,rec9Gl9MMMZDmyCZ1,10.0,,,Yes,Yes,No,No,I haven't experienced any difficulties,No,"No, I have never used it",Free SMS – 25044,No,How do I get the Mo app
QK0LOQ7,qyAJ97,2025-07-22 14:28:00,recCo7LZqOz6xBsDK,9.0,,,Yes,Yes,,,,,,,,
jaxNkYQ,QG5zN7,2025-07-22 14:28:00,recmH1fhM8mm7fdFn,1.0,,,No,Yes,No,No,Slow screen touch...sometimes it's hung,,,,,
ZjJ0170,OR5bz7,2025-07-22 14:29:00,recfvOu6T1SBNOW8W,10.0,,,No,Yes,Yes,No,Can't add movie box app assist please,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,Help me download movie box app it's not on play store ...it takes time to come to the head office am always busy the free time I get it's on a Sunday and you do not work
81eOM1Y,7Q2plz,2025-07-22 14:29:00,recF7r2jxgPCj4gSD,1.0,,,,,,,,,,,,
81eORro,EpQZrB,2025-07-22 14:29:00,recgJqJLD2B8VgY9k,10.0,,,Yes,Yes,No,No,I have never had difficulty,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The only challenge I had is battery issues and screen. The technical team are already aware.
J907W4o,KXlW97,2025-07-22 14:29:00,recdfTWBhB0usoYJw,9.0,,,Yes,Yes,No,No,No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Na
Pd0KGJe,lpdYxW,2025-07-22 14:30:00,recyQnoDK27FNJXd5,1.0,,,Yes,Yes,No,No,No challenge,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone is in good condition but the battery is really annoying
pbVaklb,ORX6Zk,2025-07-22 14:31:00,rec7AWiZnJu9x8o12,6.0,,,Yes,No,No,Yes,I got a phone yesterday but the fingerprint was not working,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Improve on customer service
1AKv2g4,4M7Nod,2025-07-22 14:31:00,recYb3rVZ5nXYdX4f,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,
gD42kxP,Vr5bOJ,2025-07-22 14:32:00,recaCXnvfMgAumPAN,10.0,,,Yes,Yes,No,No,,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,
ODPY0kK,0K8LP6,2025-07-22 14:32:00,rectdoklk8Gpnso58,0.0,,,No,No,No,Yes,You insisted I spoiled the phone which was still under 48hrs of testing of which I left the phone plus my down-payment,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Technician took advantage for me bringing back that I didn't continue with the loan
Gx0W5Lk,qyAkAg,2025-07-22 14:32:00,recACBqHCP6NX2YqK,10.0,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Good services
Gx0WX4o,vRyEq4,2025-07-22 14:34:00,recRFbjO4lYwQi4t1,8.0,,,Yes,No,No,Yes,Let response and wrong information leading to stress from my end,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,No,Their is a lie from your agents regarding the repayment plan and total cost. it is not right...
obOWvz1,L8W6Jj,2025-07-22 14:34:00,recZCgt63sm1vCmzY,10.0,,,Yes,Yes,No,No,No challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Provide reminders when weekly payment is due.
xXZKvvo,oJMkdP,2025-07-22 14:35:00,recNQBg0BY7LE50wa,9.0,,,Yes,Yes,No,No,I said no,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Sometimes I ask for extension of like three days but the second day the phone is locked again
VL8gN5l,gBMkoD,2025-07-22 14:35:00,recOnJLy24e6gy4ky,5.0,,,,,,,,,,,,
xXZKvak,M0z7a8,2025-07-22 14:36:00,recT48lrubr4a0wco,10.0,,,Yes,Yes,No,No,"Challange is am an eble to see my loan payment status find a way to show how much you have payed, the whole and also weekly so that the phone should not lock by you thinking you have completed your weekly payment.",Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Make a way of us get unlocked for someone if the client has payed at least 3 days subscription since since before the end of the week someone would have completed the weekly payments and also it encourages someone to pay easily
OD0vEdY,xGalky,2025-07-22 14:36:00,recVwq5rFEr7zJrQw,10.0,,,Yes,Yes,,,,,,,,
2Er0ol9,RO5kKJ,2025-07-22 14:36:00,recP10C5CFVkgcfyU,,,,Yes,,,,,,,,,
VLl9z0N,QbVjdg,2025-07-22 14:37:00,recscx6pMij72CFzU,8.0,,,Yes,Yes,Yes,No,,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I would like to have a second phone from your store
jaxNz0J,EpQN4X,2025-07-22 14:37:00,recxQdxBvmsNgA77h,8.0,,,Yes,Yes,No,No,1,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,0
LZ0lOXJ,1j7pjp,2025-07-22 14:38:00,recqESl608771R68D,9.0,,,Yes,Yes,No,Yes,My phone switched to unoaid mode while i had 5 days untill the next pay whicha affected my plans,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,No
xXZKzp9,xGalW5,2025-07-22 14:39:00,rec8Jv7WOQkf84oHf,10.0,,,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,
Np0kPZN,Po5k6x,2025-07-22 14:39:00,recmEZjReV9PSJO1V,8.0,,,Yes,Yes,No,No,,No,"No, I have never used it",,,
jaMGj54,apoXgB,2025-07-22 14:39:00,recgM9Hmos6k8FfgE,5.0,,,No,No,No,Yes,The challenges I have is installing the app,No,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,Change you phone settings issue ni laminate nikam kwa office nikitaka app
XxqXQ7d,lpdvr6,2025-07-22 14:40:00,recfp0TxPzWVvLnRE,10.0,,,Yes,Yes,No,Yes,Just wanted to get assistance because I needed to be granted a grace period,No,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,No thanks
LZ0lOQy,rXAvLo,2025-07-22 14:40:00,rec8hQo1jdOv8qFqw,10.0,,,Yes,Yes,No,"No, I have never looked for customer care",Its great,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
68xoPbY,gBMv7D,2025-07-22 14:41:00,recG03t9bK0KZ3Y0E,10.0,,,No,Yes,No,Yes,My phone as a problem on screen touch,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Battery problem
Ek0964l,gBMvLP,2025-07-22 14:43:00,rec3YVNBYbNvcAN9Q,5.0,,,No,No,Yes,Yes,"Payment not reflecting,Stagnant balance after paying",Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,Never received any call after trying to contact your customer support
xXZK6zv,GMd5Ez,2025-07-22 14:43:00,recKyAigHdCfsKofc,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,I am currently okay with the services
5B2ROPd,EpQM9B,2025-07-22 14:45:00,recdsaEhgNMizCWtN,10.0,,,Yes,Yes,No,No,1,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
rjE7qlM,jKQvzx,2025-07-22 14:45:00,reciC6Gl6SdM0u12H,8.0,,,Yes,Yes,No,Yes,"Kindly if you can have option for a day payment as emergency paymnent where one can pay for that day ameshikwa na emergency na bahati mbaya simu ilikiwa off and he cant pay the weekly one you should have that option .
",,,,,
" Then on loan terms after phone payment bless someone with a loan and make sure he pays with the phone he has just shut the phone but let the loan be equivalalent to what he purchased or higher not lower""",Yes,,Phone Call – +254 728 444 442 or +254 709 924 404,,Kinldy consider the request i have made,,,,,,,,,,,
GxlQRde,PJgKPx,2025-07-22 14:45:00,rec11VbLRoUj5ai7V,1.0,,,No,No,No,No,"This phone doesnt support third parties installation....like sportpesa app,betika app etc",No,,,,
Gx0W7Pj,Po5kVB,2025-07-22 14:45:00,recTpaL4p99XZDEOu,8.0,,,Yes,Yes,No,Yes,We had a network issue,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Thanks
GxrPx2L,eJgyvQ,2025-07-22 14:45:00,recBpF7X7oMnb6b7H,10.0,,,No,No,No,No,If is 7th,,,,,
obOWxJX,DLdMrZ,2025-07-22 14:45:00,recqbu97A55hyhwAh,1.0,,,No,No,Yes,Yes,They took my device and failed to replace it,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Please help me
zxelbPE,89QroP,2025-07-22 14:46:00,recZVW3p6W8pTnFH4,6.0,,,Yes,Yes,No,No,Na,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Na
ZjJ0WZv,gBMzQJ,2025-07-22 14:47:00,recauBBTVD70plp1e,,,,Yes,Yes,,,,,,,,
RGLpgov,6q2Pl5,2025-07-22 14:51:00,recM6z4N4NuFFXu5d,10.0,,,Yes,Yes,No,No,No challenges,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Good
KY0bOgD,L8WOal,2025-07-22 14:53:00,rechuHT54JNmMcoKa,6.0,,,Yes,Yes,No,No,"Only that there should be a way on screen where by someone sees the amount he has paid,and the balance.",No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Need to see the amount paid and the balance on screen.
44j5qRd,lpd4yB,2025-07-22 14:53:00,recCE2VhQa6eOcEGJ,5.0,,,Yes,,,,,,,,,
zxelOjE,7Q2Er9,2025-07-22 14:53:00,reccyyL2qhoNTg68Z,7.0,,,Yes,Yes,No,Yes,It is hard getting immediate service from a customer care agent especially when your phone is haiving issues.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My phone is peeling. That is the paint that comes with it. Its been a month since i bought it. So i think you people played me there. Bc how do you explain that.
OD0vyoR,Qbz0d8,2025-07-22 14:59:00,recglIk5mlgyvWlUw,5.0,,,No,No,No,No,The phone network,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Slow connect to internet
Gx0W4eZ,ebeyrx,2025-07-22 15:00:00,recnT2JvRwNfJ8sBW,10.0,,,Yes,Yes,No,"No, I have never looked for customer care",,,,,,
obOWQrO,ebeyDQ,2025-07-22 15:01:00,recJ7Ulc7K9EnM41v,10.0,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,
68xoyQo,OR5rJ7,2025-07-22 15:02:00,rec3scoJ7SHTTTre0,6.0,,,No,Yes,Yes,No,Non,,,,,
pbVa9yV,gBMOkM,2025-07-22 15:03:00,recv2jfooW3tKwJhV,0.0,,,No,No,Yes,Yes,"First your customer support numbers always diverted .......no one can assist you 
",,,,,
" Second ......the gadget always loosing network +bad speakers and earpiece........YOR SUPPORT SYSTEM IS AS GOOD AS NOTHING ...""",No,,Phone Call – +254 728 444 442 or +254 709 924 404,,Just thinking of getting a gadget that will serve me ..........your agent never reach out to know why they were being contacted ................i think i will have to box your gadget and keep it..,,,,,,,,,,,
5BkrJ4P,xq6GBd,2025-07-22 15:06:00,recSsLvRLQXTaYzFY,8.0,,,Yes,Yes,No,Yes,I requested you to help me on how to install E-sim Card on the device but upto now no one has come to help...,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Generally your are Okey but improve in a few area which I have mentioned...otherwise all the best...
J907ZR4,DLdbLR,2025-07-22 15:07:00,rec7LnU3e7nPbm1Bk,5.0,,,Yes,Yes,No,No,No,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No at all
